#		Crusader Kings 2 : Advanced Medieval Desires

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;

#		ㅇㅇ;ㅇㅇ;;;;;;;;;;;;x;


#		#		Character Modifiers
AMD_CMF_first_blood;퍼스트 블러드;;;;;;;;;;;;x;
AMD_CMF_first_blood_desc;오늘 어른의 계단을 올랐습니다.;;;;;;;;;;;;x;
AMD_CMF_party_invited;파티 초대장;;;;;;;;;;;;x;
AMD_CMF_party_invited_desc;시공의 폭풍으로 초대받았습니다.;;;;;;;;;;;;x;

AMD_CM_cooldown;현자의 시간;;;;;;;;;;;;x;
AMD_CM_cooldown_desc;특별한 활동 뒤에는 잠시 휴식이 필요합니다.;;;;;;;;;;;;x;
AMD_CM_sex_study;야학;;;;;;;;;;;;x;
AMD_CM_sex_study_desc;사랑의 더 높은 경지에 도달하기 위해 밤낮없이 수련에 매진하고 있습니다.;;;;;;;;;;;;x;
AMD_CM_xp_skill;야학 : 경험누적;;;;;;;;;;;;x;
AMD_CM_xp_skill_desc;밤기술을 연마하며 경험을 쌓았습니다. 더 높은 경지에 올라가는 데 도움이 될 것입니다...;;;;;;;;;;;;x;


AMD_CM_drug_aphrodisiac;최음;;;;;;;;;;;;x;
AMD_CM_drug_aphrodisiac_desc;성감과 쾌락이 상승한 성적 흥분상태입니다.;;;;;;;;;;;;x;
AMD_CM_drug_contraceptive;피임;;;;;;;;;;;;x;
AMD_CM_drug_contraceptive_desc;임신 가능성이 크게 감소합니다.;;;;;;;;;;;;x;
AMD_CM_drug_fertilizer;임신촉진;;;;;;;;;;;;x;
AMD_CM_drug_fertilizer_desc;임신 가능성이 상승합니다.;;;;;;;;;;;;x;
AMD_CM_drug_enlarger;성장촉진;;;;;;;;;;;;x;
AMD_CM_drug_enlarger_desc;중요 신체부위가 성장하고 있습니다.;;;;;;;;;;;;x;

AMD_CM_first_happy;인절손;;;;;;;;;;;;x;
AMD_CM_first_happy_desc;이렇게 기분좋은 걸 몰랐다니, 인생의 절반 손해봤어요!;;;;;;;;;;;;x;
AMD_CM_first_common;통과의례;;;;;;;;;;;;x;
AMD_CM_first_common_desc;가문을 이어가려는 귀족이라면 누구나 하는 경험을 했습니다.;;;;;;;;;;;;x;
