#		Crusader Kings 2 : Advanced Medieval Desires

#AMD_EV_DESC_LENGTH;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;	이벤트 창 1 line 제한 약 70byte


AMD_String_AMD;(AMD) ;;;;;;;;;;;;x;


e_AMD_NEXUS;지구 관리단;;;;;;;;;;;;x;
e_AMD_NEXUS_adj;시공의;;;;;;;;;;;;x;
AMD_MANAGER;APU;;;;;;;;;;;;x;
AMD_MANAGER_FOA;APU;;;;;;;;;;;;x;

#디시전Decisions;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_DCS_mod_config;AMD 모드 설정;;;;;;;;;;;;x;
AMD_DCS_mod_config_desc;Advanced Medieval Desires 모드의 설정을 변경합니다.;;;;;;;;;;;;x;

#약물;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_DCS_find_alchemist;연금술사 탐색;;;;;;;;;;;;x;
AMD_DCS_find_alchemist_desc;[AMD_CLK_AMD]가문 유지 활동에 도움을 줄 수 있는 존재를 찾습니다.;;;;;;;;;;;;x;

AMD_DCS_work_alchemist;약물 생산;;;;;;;;;;;;x;
AMD_DCS_work_alchemist_desc;[AMD_CLK_AMD]미약, 피임약 등의 특별한 약물을 생산합니다.;;;;;;;;;;;;x;
AMD_TD_alchemy_drug;약물 사용;;;;;;;;;;;;x;
AMD_TD_alchemy_drug_desc;[AMD_CLK_AMD]모드 이벤트로 얻은 특수한 약물을 사용합니다.;;;;;;;;;;;;x;
AMD_TD_alchemy_magic;신비한 의식;;;;;;;;;;;;x;
AMD_TD_alchemy_magic_desc;[AMD_CLK_AMD]최음, 피임 등의 특수 효과를 내는 의식을 행합니다.;;;;;;;;;;;;x;

#학습;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_DCS_sex_study;밤기술 연마;;;;;;;;;;;;x;
AMD_DCS_sex_study_desc;[AMD_CLK_AMD]성적 능력을 향상시킬 방법을 찾습니다.;;;;;;;;;;;;x;

#거래;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_DCS_visit_brothel;창관 방문;;;;;;;;;;;;x;
AMD_DCS_visit_brothel_desc;[AMD_CLK_AMD]세상에서 가장 오래된 직업에 종사하는 사람들을 만나러 갑니다.;;;;;;;;;;;;x;
AMD_DCS_work_brothel;창관에서 일하기;;;;;;;;;;;;x;
AMD_DCS_work_brothel_desc;[AMD_CLK_AMD]밤의 부업을 하러 갑니다.;;;;;;;;;;;;x;
AMD_DCS_quit_brothel;창관 그만두기;;;;;;;;;;;;x;
AMD_DCS_quit_brothel_desc;[AMD_CLK_AMD]밤거리에서 몸을 파는 것은 [Root.GetTitle]에게 어울리지 않는 일입니다...;;;;;;;;;;;;x;

#친애;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_TD_visit_lover;사랑의 밀회;;;;;;;;;;;;x;
AMD_TD_visit_lover_desc;[AMD_CLK_AMD]배우자, 첩, 또는 연인과 함께 시간을 보냅니다.;;;;;;;;;;;;x;
AMD_DCS_party_play;파티 플레이;;;;;;;;;;;;x;
AMD_DCS_party_play_desc;[AMD_CLK_AMD]연인들을 한데 불러모아 동시에 즐겨보면 어떨까.;;;;;;;;;;;;x;

#죄수;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_TD_visit_prisoner;감옥 방문;;;;;;;;;;;;x;
AMD_TD_visit_prisoner_desc;[AMD_CLK_AMD]특별한 용건을 가지고 죄수를 방문합니다.;;;;;;;;;;;;x;
AMD_TD_dynasty_manage;가문 관리;;;;;;;;;;;;x;
AMD_TD_dynasty_manage_desc;[AMD_CLK_AMD][Root.GetFirstName] 는 당신의 자식입니다. 당신 가문으로 들이거나 분가시킬 수 있습니다. (WIP);;;;;;;;;;;;x;

#승마;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;
AMD_DCS_buy_horse;종마 구매;;;;;;;;;;;;x;
AMD_DCS_buy_horse_desc;[AMD_CLK_AMD]마법과 같은 우정을 나눌 네 발 달린 친구를 찾습니다.;;;;;;;;;;;;x;
AMD_TD_visit_beast;동물 친구 방문;;;;;;;;;;;;x;
AMD_TD_visit_beast_desc;[AMD_CLK_AMD]종족의 벽을 넘어서 우정을 나누러 갑니다.;;;;;;;;;;;;x;

#String_Custom_Tooltip;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;

AMD_String_T_NOT_IN_COOLDOWN;AMD 모드 이벤트 종료 후 일정 시간이 지나야 합니다.\n;;;;;;;;;;;;x;
AMD_String_T_NOT_IN_ACTION;AMD 모드 이벤트가 진행중이 아니어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_T_NOT_BUSY;투옥, 성지순례, 전투, 은신 등의 행동불능 사유가 없어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_SUCCESS;성공\n;;;;;;;;;;;;x;
AMD_String_FAIL;실패\n;;;;;;;;;;;;x;
AMD_String_THE_YOU;당신;;;;;;;;;;;;x;
AMD_String_THE_NAME;[This.GetFirstName];;;;;;;;;;;;x;
AMD_String_THE_HIM;그;;;;;;;;;;;;x;
AMD_String_THE_HER;그녀;;;;;;;;;;;;x;
AMD_TT_ACM_XP_SKILL;지식이 늘었다.;;;;;;;;;;;;x;
AMD_TT_EUREKA;유레카!;;;;;;;;;;;;x;

AMD_String_T_HGF_IN_ACTION;다른 AMD 모드 이벤트가 진행중이 아니어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_T_IS_BUSY;투옥, 성지순례, 전투, 은신 등의 행동불능 사유가 있습니다.\n;;;;;;;;;;;;x;
AMD_String_T_CAN_ACCESS_PREV;두 사람은 같은 위치에 있어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_E_HP_DAMAGE;무리한 성행위는 건강에 악영향을 줄 수 있습니다.\n;;;;;;;;;;;;x;
AMD_String_T_IS_DOABLE_AGE;성적 이벤트가 가능한 연령이어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_T_IS_DOABLE_HUMAN;인간, 12세 이상, 50세 미만이거나 고령에도 불구하고 성행위가 가능한 몸이어야 합니다.\n;;;;;;;;;;;;x;
AMD_String_T_IS_DOABLE_HORSE;말, 6세 이상, 30세 미만이거나 고령에도 불구하고 성행위가 가능한 몸이어야 합니다.\n;;;;;;;;;;;;x;
